Datetime,Intervall [ms],A51_M1S_494 (Belegungen/Intervall),A51_M1S_494 (Verweilzeit/Intervall) [ms],A54_M4SL_506 (Belegungen/Intervall),A54_M4SL_506 (Verweilzeit/Intervall) [ms],A55_M3S_505 (Belegungen/Intervall),A55_M3S_505 (Verweilzeit/Intervall) [ms],D11 (Belegungen/Intervall),D11 (Verweilzeit/Intervall) [ms],D12 (Belegungen/Intervall),D12 (Verweilzeit/Intervall) [ms],D21 (Belegungen/Intervall),D21 (Verweilzeit/Intervall) [ms],Fiber_reserve (Belegungen/Intervall),Fiber_reserve (Verweilzeit/Intervall) [ms],H51_A74/M1S_493 (Belegungen/Intervall),H51_A74/M1S_493 (Verweilzeit/Intervall) [ms],H54_M3SL_1289 (Belegungen/Intervall),H54_M3SL_1289 (Verweilzeit/Intervall) [ms],H55_A30/M3S_504 (Belegungen/Intervall),H55_A30/M3S_504 (Verweilzeit/Intervall) [ms],LLB-Test (Belegungen/Intervall),LLB-Test (Verweilzeit/Intervall) [ms],Power_on (Belegungen/Intervall),Power_on (Verweilzeit/Intervall) [ms],Sync (Belegungen/Intervall),Sync (Verweilzeit/Intervall) [ms],foult (Belegungen/Intervall),foult (Verweilzeit/Intervall) [ms],Year,Month,Day,Hour
2021-06-03 08:00:00,3600000,4.0,3990.0,2.0,2000.0,6.0,6000.0,25.0,15730.0,45.0,70174.0,58.0,38090.0,0.0,0.0,4.0,4000.0,2.0,2000.0,6.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,8
2021-06-03 09:00:00,3600000,4.0,3990.0,2.0,2000.0,6.0,5990.0,21.0,12970.0,63.0,51090.0,77.0,63023.0,0.0,0.0,4.0,3980.0,2.0,2000.0,6.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,9
2021-06-03 10:00:00,3600000,4.0,3980.0,2.0,2000.0,5.0,5000.0,31.0,20330.0,76.0,64840.0,108.0,133810.0,0.0,0.0,4.0,3990.0,2.0,2000.0,6.0,5970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,10
2021-06-03 11:00:00,3600000,4.0,4000.0,2.0,2000.0,6.0,6000.0,48.0,33130.0,79.0,74620.0,139.0,220500.0,0.0,0.0,4.0,3990.0,2.0,2000.0,6.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,11
2021-06-03 12:00:00,3600000,5.0,5000.0,2.0,2000.0,8.0,8000.0,55.0,37180.0,99.0,76442.0,127.0,191390.0,0.0,0.0,5.0,4990.0,2.0,2000.0,8.0,7990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,12
2021-06-03 13:00:00,3600000,7.0,7000.0,4.0,3990.0,13.0,13000.0,41.0,27330.0,122.0,140700.0,166.0,278316.0,0.0,0.0,7.0,7000.0,5.0,5000.0,13.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,13
2021-06-03 14:00:00,3600000,9.0,8990.0,4.0,4000.0,12.0,12000.0,47.0,32910.0,122.0,173410.0,191.0,318682.0,0.0,0.0,9.0,9000.0,4.0,4000.0,12.0,11970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,14
2021-06-03 15:00:00,3600000,7.0,6980.0,5.0,5000.0,12.0,11990.0,58.0,49810.0,115.0,176674.0,171.0,254990.0,0.0,0.0,8.0,7960.0,4.0,4000.0,12.0,11980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,15
2021-06-03 16:00:00,3600000,9.0,9000.0,3.0,3000.0,11.0,11000.0,47.0,30350.0,95.0,111352.0,187.0,217016.0,0.0,0.0,8.0,8000.0,3.0,3000.0,12.0,11980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,16
2021-06-03 17:00:00,3600000,8.0,7980.0,4.0,4000.0,13.0,12990.0,52.0,72808.0,108.0,107060.0,173.0,338360.0,0.0,0.0,8.0,7980.0,5.0,4990.0,12.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,6,3,17
